platform,username,repo_name,codecov_used,coverall_used,language
github,openzfs,zfs,True,False,C
github,citusdata,citus,True,True,C
github,zephyrproject-rtos,zephyr,True,False,C
github,grafana,pyroscope,True,False,C
github,eclipse,mosquitto,True,False,C
github,pocoproject,poco,False,True,C
github,mattn,go-sqlite3,True,True,C
github,beanstalkd,beanstalkd,True,False,C
github,universal-ctags,ctags,True,True,C
github,ithewei,libhv,False,True,C
github,fontforge,fontforge,False,True,C
github,nanomsg,nanomsg,True,False,C
github,ntop,n2n,True,False,C
github,akopytov,sysbench,False,True,C
github,ZipArchive,ZipArchive,True,False,C
github,SanderMertens,flecs,True,False,C
github,mruby,mruby,False,True,C
github,RediSearch,RediSearch,True,False,C
github,nbs-system,naxsi,False,True,C
github,tboox,tbox,True,False,C
github,P-H-C,phc-winner-argon2,True,False,C
github,ARMmbed,mbed-os,False,True,C
github,warmcat,libwebsockets,False,True,C
github,uber,h3,False,True,C
github,aws,s2n-tls,True,False,C
github,torproject,tor,False,True,C
github,ultrajson,ultrajson,True,False,C
github,dunst-project,dunst,True,True,C
github,martanne,vis,True,True,C
github,lc-soft,LCUI,True,True,C
github,openvenues,libpostal,False,True,C
github,OISF,suricata,True,False,C
github,yshui,picom,True,False,C
github,microsoft,msquic,True,False,C
github,canonical,dqlite,True,False,C
github,tectonic-typesetting,tectonic,True,False,C
github,albfan,miraclecast,False,True,C
github,aubio,aubio,True,True,C
github,neomutt,neomutt,False,True,C
github,hexchat,hexchat,False,True,C
github,akheron,jansson,False,True,C
github,Simple-XX,SimpleKernel,True,False,C
github,json-c,json-c,False,True,C
github,civetweb,civetweb,True,True,C
github,Legrandin,pycryptodome,False,True,C
github,vifm,vifm,False,True,C
github,cleanflight,cleanflight,False,True,C
github,checkpoint-restore,criu,True,True,C
github,danielfrg,word2vec,True,False,C
github,orioledb,orioledb,True,False,C
github,bvschaik,julius,True,False,C
github,fwupd,fwupd,False,True,C
github,gpac,gpac,True,True,C
github,the-tcpdump-group,tcpdump,False,True,C
github,util-linux,util-linux,False,True,C
github,open62541,open62541,True,True,C
github,EyalAr,lwip,True,True,C
github,saitoha,libsixel,False,True,C
github,rizinorg,rizin,True,False,C
github,mpaland,printf,True,False,C
github,vvaltchev,tilck,True,False,C
github,FreeRTOS,FreeRTOS-Kernel,True,False,C
github,johnxnguyen,Down,True,False,C
github,tezc,sc,True,False,C
github,FreeRDP,Remmina,False,True,C
github,simd-everywhere,simde,True,False,C
github,SRombauts,SQLiteCpp,False,True,C
github,strongswan,strongswan,True,False,C
github,recp,cglm,True,True,C
github,strace,strace,True,True,C
github,davidmoreno,onion,False,True,C
github,boazsegev,facil.io,True,False,C
github,RedisGraph,RedisGraph,True,False,C
github,rsyslog,rsyslog,True,False,C
github,rspamd,rspamd,False,True,C
github,Snaipe,Criterion,True,False,C
github,pmwkaa,sophia,False,True,C
github,zrythm,zrythm,False,True,C
github,duplicati,duplicati,False,True,C#
github,chocolatey,choco,False,True,C#
github,HangfireIO,Hangfire,True,True,C#
github,dotnet,machinelearning,True,False,C#
github,QuantConnect,Lean,False,True,C#
github,ThreeMammals,Ocelot,False,True,C#
github,reactiveui,refit,True,False,C#
github,gitextensions,gitextensions,True,False,C#
github,SixLabors,ImageSharp,True,False,C#
github,sschmid,Entitas,False,True,C#
github,MudBlazor,MudBlazor,True,False,C#
github,Tyrrrz,DiscordChatExporter,True,False,C#
github,TheAlgorithms,C-Sharp,True,False,C#
github,NLog,NLog,True,True,C#
github,jstedfast,MailKit,False,True,C#
github,graphql-dotnet,graphql-dotnet,True,True,C#
github,ant-design-blazor,ant-design-blazor,True,False,C#
github,ChilliCream,graphql-platform,True,False,C#
github,autofac,Autofac,True,False,C#
github,pythonnet,pythonnet,True,False,C#
github,codebude,QRCoder,True,False,C#
github,xoofx,markdig,False,True,C#
github,tmenier,Flurl,True,False,C#
github,ivanpaulovich,clean-architecture-manga,True,False,C#
github,Xabaril,AspNetCore.Diagnostics.HealthChecks,True,False,C#
github,cake-build,cake,False,True,C#
github,sshnet,SSH.NET,True,False,C#
github,icsharpcode,SharpZipLib,True,False,C#
github,morelinq,MoreLINQ,True,False,C#
github,fluentassertions,fluentassertions,False,True,C#
github,neo-project,neo,True,True,C#
github,testcontainers,testcontainers-dotnet,False,True,C#
github,StephenCleary,AsyncEx,True,False,C#
github,khellang,Scrutor,True,False,C#
github,dlemstra,Magick.NET,True,False,C#
github,libgit2,libgit2sharp,True,False,C#
github,wolfgarbe,SymSpell,True,False,C#
github,coverlet-coverage,coverlet,True,False,C#
github,open-telemetry,opentelemetry-dotnet,True,False,C#
github,zeromq,netmq,True,False,C#
github,dorssel,usbipd-win,True,False,C#
github,scriban,scriban,False,True,C#
github,GitTools,GitVersion,True,True,C#
github,ninject,Ninject,True,False,C#
github,nodatime,nodatime,True,False,C#
